name/season,injury_days_list,injury_days_vector
aaron-herzog_21/22,"[(3, 285), (8, 4)]","[0, 0, 0, 285, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
aaron-herzog_22/23,"[(3, 26)]","[0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aaron-herzog_23/24,"[(11, 4), (3, 40), (0, 48), (11, 5), (1, 18)]","[48, 18, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]"
aaron-martin_19/20,"[(13, 10)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]"
aaron-martin_23/24,"[(1, 27)]","[0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aaron-seydel_19/20,"[(1, 11), (11, 183)]","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0]"
aaron-seydel_20/21,"[(4, 181), (11, 27), (9, 30)]","[0, 0, 0, 0, 181, 0, 0, 0, 0, 30, 0, 27, 0, 0]"
aaron-seydel_21/22,"[(11, 26)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0]"
aaron-seydel_22/23,"[(1, 39), (1, 46), (1, 74)]","[0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aaron-seydel_23/24,"[(1, 59)]","[0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abdelhamid-sabiri_19/20,"[(5, 16)]","[0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0]"
abdelhamid-sabiri_22/23,"[(13, 19), (11, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 19]"
abdou-diallo_19/20,"[(13, 24), (2, 11)]","[0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24]"
abdou-diallo_20/21,"[(8, 11), (11, 4), (13, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 0, 21]"
abdou-diallo_22/23,"[(3, 65), (3, 5)]","[0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abdoulaye-kamara_21/22,"[(4, 31)]","[0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abdoulaye-kamara_22/23,"[(3, 50), (3, 91), (1, 14)]","[0, 14, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
