name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs
harry-kane_2023/2024,145.0,32.68,221.0,30.0,23.0,9.0,316.3,484.0,1580.0
lois-openda_2023/2024,118.0,36.09,257.0,31.0,31.0,33.0,301.1,887.0,2029.0
deniz-undav_2023/2024,103.0,32.73,226.0,17.0,9.0,29.0,255.7,591.0,1776.0
serhou-guirassy_2023/2024,89.0,33.15,267.0,65.0,,18.0,247.7,547.0,1516.0
victor-boniface_2023/2024,83.0,32.93,168.0,33.0,2.0,15.0,168.4,323.0,944.0
xavi-simons_2023/2024,82.0,33.97,364.0,17.0,13.0,26.0,321.7,807.0,2326.0
tim-kleindienst_2023/2024,81.0,33.84,384.0,187.0,16.0,89.0,362.3,1056.0,2863.0
maximilian-beier_2023/2024,81.0,35.45,196.0,18.0,32.0,21.0,302.4,903.0,2264.0
marvin-ducksch_2023/2024,80.0,32.01,109.0,29.0,35.0,4.0,305.8,483.0,1755.0
ermedin-demirovic_2023/2024,77.0,32.97,277.0,65.0,5.0,57.0,341.6,916.0,2262.0
omar-marmoush_2023/2024,75.0,35.77,297.0,27.0,8.0,27.0,263.6,844.0,1773.0
michael-gregoritsch_2023/2024,75.0,30.93,189.0,88.0,8.0,16.0,192.8,373.0,1182.0
kevin-stoger_2023/2024,75.0,31.23,325.0,15.0,80.0,39.0,327.8,555.0,1960.0
leroy-sane_2023/2024,74.0,35.82,241.0,4.0,17.0,26.0,237.9,779.0,1708.0
alejandro-grimaldo_2023/2024,74.0,33.15,214.0,15.0,89.0,15.0,360.5,812.0,2340.0
jonas-wind_2023/2024,72.0,30.4,296.0,102.0,5.0,23.0,306.1,479.0,1790.0
donyell-malen_2023/2024,71.0,34.83,160.0,5.0,28.0,11.0,199.0,416.0,1183.0
andrej-kramaric_2023/2024,71.0,33.01,147.0,10.0,24.0,9.0,293.7,628.0,1912.0
florian-wirtz_2023/2024,70.0,34.61,327.0,11.0,20.0,16.0,325.7,886.0,2459.0
tim-skarke_2023/2024,70.0,34.85,193.0,18.0,63.0,30.0,295.1,732.0,1849.0
takuma-asano_2023/2024,64.0,34.62,145.0,17.0,28.0,13.0,251.6,816.0,2046.0
jonas-hofmann_2023/2024,62.0,33.46,129.0,5.0,29.0,14.0,293.3,690.0,2009.0
alassane-plea_2023/2024,57.0,31.75,177.0,19.0,28.0,13.0,224.9,380.0,1429.0
jamal-musiala_2023/2024,56.0,34.17,296.0,7.0,6.0,24.0,202.7,489.0,1398.0
roland-sallai_2023/2024,56.0,33.37,177.0,32.0,51.0,37.0,227.7,543.0,1392.0
niclas-fullkrug_2023/2024,55.0,32.46,237.0,98.0,5.0,26.0,285.2,511.0,1731.0
chris-fuhrich_2023/2024,55.0,34.45,236.0,1.0,39.0,7.0,295.4,774.0,2033.0
phillip-tietz_2023/2024,54.0,31.66,275.0,125.0,7.0,41.0,282.0,510.0,1823.0
jeremie-frimpong_2023/2024,53.0,35.96,224.0,14.0,66.0,18.0,255.6,1006.0,2076.0
leon-goretzka_2023/2024,52.0,32.89,216.0,36.0,7.0,23.0,279.9,436.0,1517.0
eric-dina-ebimbe_2023/2024,52.0,34.6,259.0,46.0,16.0,49.0,235.6,624.0,1685.0
jan-niklas-beste_2023/2024,52.0,34.25,242.0,5.0,78.0,25.0,301.4,1022.0,2182.0
vincenzo-grifo_2023/2024,51.0,32.5,178.0,15.0,60.0,14.0,297.8,635.0,2129.0
ruben-vargas_2023/2024,50.0,34.24,172.0,34.0,46.0,34.0,232.3,610.0,1579.0
marcel-sabitzer_2023/2024,49.0,33.51,170.0,12.0,11.0,15.0,259.7,580.0,1874.0
eren-dinkci_2023/2024,49.0,36.41,225.0,12.0,52.0,25.0,323.5,966.0,2298.0
kevin-behrens_2023/2024,48.0,32.64,261.0,114.0,11.0,25.0,239.9,614.0,1834.0
benjamin-sesko_2023/2024,46.0,35.47,174.0,37.0,4.0,11.0,209.8,648.0,1519.0
luca-waldschmidt_2023/2024,45.0,33.35,107.0,10.0,11.0,19.0,158.7,331.0,1074.0
luca-pfeiffer_2023/2024,45.0,31.17,156.0,58.0,4.0,26.0,188.2,283.0,1023.0
jamie-leweling_2023/2024,45.0,35.01,158.0,7.0,31.0,20.0,188.0,598.0,1422.0
granit-xhaka_2023/2024,44.0,31.55,242.0,33.0,5.0,29.0,372.2,454.0,2142.0
dani-olmo_2023/2024,44.0,32.94,175.0,15.0,12.0,14.0,168.5,376.0,1186.0
robin-hack_2023/2024,44.0,33.98,156.0,20.0,19.0,16.0,183.7,508.0,1431.0
mathys-tel_2023/2024,43.0,35.3,146.0,12.0,15.0,18.0,132.4,369.0,914.0
jamie-bynoe-gittens_2023/2024,42.0,35.2,148.0,7.0,9.0,13.0,132.7,424.0,1001.0
jonathan-burkardt_2023/2024,42.0,32.67,181.0,32.0,29.0,18.0,198.2,491.0,1385.0
mitchell-weiser_2023/2024,41.0,34.42,285.0,29.0,68.0,28.0,329.2,876.0,2518.0
mattias-svanberg_2023/2024,41.0,35.0,197.0,17.0,12.0,39.0,215.3,424.0,1499.0
anton-stach_2023/2024,40.0,33.85,408.0,87.0,24.0,30.0,337.1,620.0,1907.0
nadiem-amiri_2023/2024,40.0,31.95,167.0,6.0,10.0,11.0,175.9,298.0,944.0
marco-reus_2023/2024,39.0,31.49,153.0,14.0,8.0,19.0,207.2,507.0,1441.0
lovro-majer_2023/2024,39.0,31.1,244.0,15.0,30.0,35.0,301.5,705.0,2707.0
maximilian-eggestein_2023/2024,39.0,32.34,266.0,48.0,6.0,32.0,374.1,571.0,2379.0
florian-neuhaus_2023/2024,39.0,32.98,112.0,8.0,6.0,7.0,154.4,173.0,808.0
enzo-millot_2023/2024,39.0,33.85,250.0,6.0,23.0,35.0,284.3,530.0,1784.0
patrik-schick_2023/2024,39.0,32.89,105.0,31.0,,9.0,129.7,229.0,693.0
romano-schmid_2023/2024,38.0,34.04,302.0,25.0,34.0,29.0,314.3,699.0,2084.0
jens-stage_2023/2024,38.0,32.2,256.0,75.0,8.0,49.0,300.1,510.0,2051.0
leandro-barreiro_2023/2024,38.0,32.93,313.0,54.0,5.0,58.0,347.2,702.0,2579.0
ihlas-bebou_2023/2024,38.0,35.02,200.0,37.0,27.0,24.0,209.0,563.0,1457.0
marco-richter_2023/2024,38.0,32.49,84.0,6.0,14.0,7.0,97.7,238.0,699.0
