name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs,injury_days_list,injury_days_vector
aaron-martin_2019/2020,9.0,32.57,142.0,22.0,49.0,17.0,214.1,554.0,1525.0,"[(13, 10)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]"
aaron-seydel_2023/2024,13.0,32.17,108.0,51.0,1.0,8.0,78.8,129.0,495.0,"[(1, 59)]","[0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abdelhamid-sabiri_2019/2020,38.0,30.76,152.0,32.0,1.0,27.0,130.7,150.0,716.0,"[(5, 16)]","[0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0]"
abdourahmane-barry_2021/2022,1.0,34.1,33.0,7.0,6.0,9.0,27.4,82.0,230.0,"[(1, 5)]","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adam-bodzek_2019/2020,9.0,32.2,183.0,43.0,1.0,31.0,242.7,249.0,1172.0,"[(1, 14), (13, 18), (13, 20)]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38]"
adam-szalai_2020/2021,15.0,30.52,115.0,37.0,4.0,16.0,98.2,163.0,734.0,"[(11, 7), (3, 35)]","[0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
adam-szalai_2021/2022,9.0,30.15,49.0,11.0,2.0,8.0,34.6,68.0,245.0,"[(11, 10), (1, 7), (3, 35)]","[0, 7, 0, 35, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]"
ademola-lookman_2019/2020,10.0,32.49,39.0,1.0,8.0,7.0,38.2,101.0,267.0,"[(8, 6), (5, 7), (11, 6)]","[0, 0, 0, 0, 0, 7, 0, 0, 6, 0, 0, 6, 0, 0]"
admir-mehmedi_2019/2020,23.0,32.91,146.0,24.0,17.0,23.0,156.8,387.0,1191.0,"[(1, 34), (1, 3), (5, 4)]","[0, 37, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
admir-mehmedi_2020/2021,7.0,32.3,96.0,8.0,13.0,13.0,122.9,309.0,963.0,"[(8, 14), (4, 26)]","[0, 0, 0, 0, 26, 0, 0, 0, 14, 0, 0, 0, 0, 0]"
ahmed-kutucu_2019/2020,18.0,33.65,83.0,14.0,5.0,10.0,83.3,215.0,556.0,"[(13, 3), (4, 9)]","[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
ahmed-kutucu_2020/2021,2.0,31.45,12.0,3.0,1.0,2.0,14.5,24.0,100.0,"[(1, 7)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ajdin-hrustic_2021/2022,29.0,33.63,87.0,4.0,8.0,15.0,134.8,249.0,1004.0,"[(1, 7)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
akaki-gogia_2019/2020,1.0,30.53,22.0,6.0,3.0,2.0,15.6,36.0,121.0,"[(3, 312)]","[0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alassane-plea_2019/2020,79.0,32.95,264.0,27.0,32.0,17.0,252.9,519.0,1757.0,"[(13, 14), (1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]"
alassane-plea_2020/2021,61.0,33.84,206.0,33.0,26.0,16.0,217.1,453.0,1506.0,"[(1, 4), (1, 14)]","[0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alassane-plea_2021/2022,62.0,32.82,212.0,17.0,18.0,21.0,229.5,433.0,1442.0,"[(6, 14)]","[0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0]"
alassane-plea_2022/2023,29.0,32.54,183.0,15.0,25.0,21.0,200.0,357.0,1310.0,"[(13, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21]"
alassane-plea_2023/2024,57.0,31.75,177.0,19.0,28.0,13.0,224.9,380.0,1429.0,"[(6, 60), (6, 4)]","[0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0]"
alejandro-grimaldo_2023/2024,74.0,33.15,214.0,15.0,89.0,15.0,360.5,812.0,2340.0,"[(11, 1)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
aleksandar-pavlovic_2023/2024,8.0,32.58,123.0,11.0,3.0,21.0,174.6,241.0,1088.0,"[(11, 3), (0, 3)]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
alessandro-schopf_2019/2020,15.0,32.4,165.0,16.0,12.0,18.0,204.1,400.0,1437.0,"[(1, 39), (13, 4)]","[0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
alessandro-schopf_2020/2021,11.0,32.61,125.0,9.0,6.0,10.0,126.0,311.0,958.0,"[(13, 13), (8, 17)]","[0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 13]"
alex-kral_2022/2023,28.0,33.08,263.0,62.0,25.0,21.0,302.1,645.0,1994.0,"[(5, 19)]","[0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0]"
alfred-finnbogason_2019/2020,20.0,32.11,85.0,19.0,3.0,13.0,123.8,334.0,962.0,"[(3, 33), (9, 66)]","[0, 0, 0, 33, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0]"
